Station name,Station address,Latitude,Longitude,Opening hours,Operator,Number of station,Number of plugs,Rating,Tesla (Fast),CCS/SAE,CHAdeMO,Address of nearest destination charger,Distance to the nearest destination charger (km),Energy required to nearest destination charger (kWh),Address of nearest fast charger,Distance to the nearest fast charger (km),Energy required to nearest fast charger (kWh),ObjectId,date_new
Kirrawee Supercharger,"580 Princes Highway, Kirrawee, NSW, Australia, 2232",-34.033791,151.073837,6am to Midnight,Supercharger,6,6,250 kW,0,6,0,"600 Kingsway, Mirandaâ€Ž NSWâ€Ž 2228, Australia",3.98,0.52,"128 Parraweena Rd, Miranda NSW 2228",4.95,0.53,76,5/5/2022
Taree South Service Centre,"201 Manning River Dr, Glenthorne NSW 2430, Australia",-31.94335335,152.4706623,Open 24/7,Evie Networks,2,4,350 kW,0,2,2,2 Biripi Way Taree 2430,1.52,0.15,"35 Nabiac Street, Nabiac NSW 2312, Australia",24.7,6.43,77,5/5/2022
Lithgow Workies Club,"3-7 Tank St, Lithgow NSW 2790, Australia",-33.478006,150.161124,Open 24/7,NRMA,2,4,50 kW,0,2,2,"43 Baaners Lane, Little Hartley NSW 2790, Australia",18.45,4.26,"Unnamed Road, Blackmans Flat NSW 2790, Australia",23.85,5.39,78,5/5/2022
Mount Piper Power Station - Energy Expo,"Unnamed Road, Blackmans Flat NSW 2790, Australia",-33.360471,150.027001,9am-4pm Monday to Friday,,1,2,50 kW,0,1,1,"43 Baaners Lane, Little Hartley NSW 2790, Australia",36.75,8.34,"3-7 Tank St, Lithgow NSW 2790, Australia",23.8,5.27,79,10/3/2023
Ampol Foodary Raymond Terrace North (Coming Soon),"40 Richardson Rd, Raymond Terrace NSW 2324, Australia",-32.755303,151.762953,Open 24/7,AmpCharge,1,2,150kW,0,1,1,"6 Muir St, Medowie NSW 2318, Australia",14.5,2.88,"74 Benjamin Lee Dr, Raymond Terrace NSW 2324, Australia",1.95,0.31,80,10/3/2023
Western Sydney University - Hawkesbury Campus,"Vines Dr, Richmond NSW 2753 AU",-33.614302,150.746806,Open 24/7,,1,2,,0,2,0,"61 Hawkesbury Valley Way, Windsor NSW 2756, Australia",7.4,1.3,"2213 Castlereagh Rd, Penrith NSW 2750, Australia",17.45,3.39,81,5/5/2022
Nabiac Park,"35 Nabiac Street, Nabiac NSW 2312, Australia",-32.099071,152.381574,Open 24/7,NRMA,1,2,50 kW,0,1,1,2 Biripi Way Taree 2430,24.5,6.04,"201 Manning River Dr, Glenthorne NSW 2430, Australia",24,5.92,82,5/5/2022
Macquarie center,"55-61 Talavera Road, Macquarie Park, North Ryde, NSW, Australia, 2113",-33.777244,151.122633,,Supercharger,10,10 (CCS/SAE compatible),120 - 150 kW,10,0,0,"63-71 Talavera Rd, Macquarie Park, New South Wales 2113, Australia",0.12,0.09,"270 Talavera Rd, Macquarie Park NSW 2113, Australia",0.12,0.09,83,5/5/2022
Broadway Shopping Centre,"1 Bay St, Glebe NSW 2037, Australia",-33.882995,151.194332,Open 24/7,Supercharger,8,8 (CCS/SAE compatible),120 kW,8,0,0,"31 Bay St, Ultimo NSW 2007, Australia",0.04,0.02,"2 Central Ave, Eveleigh NSW 2015, Australia",2.98,0.56,84,5/5/2022
Ampol Northbound M1 (Coming Soon),"21cc Pacific Mwy, Alison NSW 2259, Australia",-33.2562,151.402701,Open 24/7,AmpCharge,5,10,335kW,0,9,1,"Mingara Dr opp Hansens Rd, Tumbi Umbi NSW 2261, Australia",21.75,4.9,"Bryant Drive & Wyong Road, Tuggerah NSW 2259, Australia",15.95,3.38,85,10/3/2023
bp pulse Eastern Creek,"1 Wallgrove Rd, Eastern Creek NSW 2766, Australia",-33.81095214,150.8502949,Open 24/7,bp pulse,1,2,75.25kW,0,2,0,"181 Rooty Hill Rd S, Eastern
 Creek NSW 2766, Australia",4.85,0.81,"313 Great Western Highway South Wentworthville NSW 2145, Australia",14.05,2.73,86,10/3/2023
Coles Underground Parking,"227 Railway Terrace, Schofields NSW 2762, Australia",-33.705677,150.876075,Car park opening hours Mon - Sat 6am - 12am Sun 7am - 10pm,Evie Networks,2,4,50.065 kW,0,2,2,"125 Jerralong Dr, Schofields NSW 2762, Austra, Schofields 2762",1.08,0.17,"18 Victoria Avenue, Castle Hill NSW 2154, Australia",11.62,2.58,87,5/5/2022
Dapto Mall,"Moombara St, Dapto NSW 2530, Australia",-34.494604,150.795725,"5:50am - 10pm (on public holidays double check Coles and Woolworths trading
hours)",Evie Networks,2,4,50.065 kW,0,2,2,"19 Princes Hwy, Figtree NSW 2525, Australia",12,2.47,"Figtree Grove Shopping Centre, Figtree Grove Carpark, Figtree NSW 2525, Australia",11.95,2.47,88,23/8/2022
Berowra Tennis Courts,"6 Boundary St, Berowra NSW 2081, Australia",-33.621493,151.149298,,Chargefox,1,2,75 kW,0,2,0,"31-33 Brooklyn Rd, Brooklyn NSW 2083, Australia",13.9,2.17,"462 Pacific Hwy, Asquith NSW 2077, Australia",9.8,1.79,89,10/3/2023
Ampol Cameron Park,"119 Stenhouse Dr, Cameron Park NSW 2285, Australia",-32.896414,151.597704,,,2,2,350kW,0,2,0,"51 Carrington St, West Wallsend NSW 2286, Australia",1.8,0.2,"76 Cowper St, Wallsend NSW 2287, Australia",7.85,1.28,90,23/8/2022
Blaxland Supercharger (Coming Soon),25-34 Hope St Blaxland NSW 2774,-33.7451971,150.6103969,Open 24/7,Supercharger,6,6,250kW,0,6,0,"83 MMacquarie Rd, Springwood NSW 2777, Australia",8.32,2.17,"221 Wolseley St, Jamisontown NSW 2750, Australia",10.12,1.35,91,10/3/2023
Ampol Foodary Thornleigh (Coming Soon),200 Pennant Hills Rd Thornleigh NSW 2120,-33.726528,151.08365,Open 24/7,AmpCharge,1,2,150 - 180 kW,0,1,1,"21 Station St, Thornleigh NSW 2120, Australia, Thornleigh 2120",2,0.34,"462 Pacific Hwy, Asquith NSW 2077, Australia",5.52,1.12,92,10/3/2023
HomeCo Belrose,"4-6 Niangala Close, Belrose NSW 2085, Australia",-33.703313,151.213158,"Car park opening hours Mon - Wed, Fri - Sat 7am - 6pm; Thu 7am - 9pm; Sun 8am
- 7pm",Evie Networks,2,4,50.065 kW,0,2,2,"287 Mona Vale Rd, Terry Hills, NSW, Australia, 2084",2.48,0.48,"87 Winbourne Rd, Brookvale NSW 2100, Australia",10.72,1.58,93,10/3/2023
BP Pulse Ingleburn (Coming Soon),"89 Williamson Rd, Ingleburn NSW 2565, Australia",-33.98873226,150.8592698,Open 24/7,bp pluse,2,4,75.25kW,0,4,0,"52 Soldiers Parade, Edmondson Park NSW 2174, Australia",2.3,0.56,"2a Blaxland Rd, Campbelltown NSW 2560, Australia",9.07,1.9,94,10/3/2023
Wallsend Car Park,"76 Cowper St, Wallsend NSW 2287, Australia",-32.902721,151.669767,Open 24/7,NRMA,2,4,50 kW,0,2,2,"80 Cowper Street, Wallsend NSW 2287",0.57,0.1,"34 Griffiths Rd, Lambton NSW 2299, Australia",5.4,1.04,95,5/5/2022
Casula Mall,"1 Ingham Dr, Casula NSW 2170, Australia",-33.948829,150.90027,,Evie Networks,2,4,50.065 kW,0,2,2,"52 Soldiers Parade, Edmondson Park NSW 2174, Australia",5.58,1.08,"89 Williamson Rd, Ingleburn NSW 2565, Australia",7.68,1.38,96,23/8/2022
Hungry Jack's Cabramatta,"401 Cabramatta Rd W, Cabramatta NSW 2166, Australia",-33.898778,150.919791,Open 24/7,Evie Networks,2,4,50.065 kW,0,2,2,"224 Railway Parade, Cabramatta, NSW, Australia, NSW 2166, Australia",1.85,0.21,"1 Ingham Dr, Casula NSW 2170, Australia",6.78,1.23,97,5/5/2022
Hyundai Head Office,"394 Lane Cove Rd, Macquarie Park NSW 2113, Australia",-33.78528,151.12685,,,1,2,50 kW,0,1,1,"22 Giffnock Ave, Macquarie Park NSW 2113, Aus, Macquarie Park 2113",0.48,0.11,"55-61 Talavera Road,, Macquarie Park, North Ryde, NSW, Australia, 2113",1.48,0.25,98,10/3/2023
bp pulse Ballina Travel Centre,"41 Bruxner Hwy, West Ballina NSW 2478, Australia",-28.86162625,153.5168241,"Open 24/7
24/7",bp pulse,1,2,75 kW,0,2,0,"95 Cherry Street, Ballina, NSW, 2478",6.02,1.07,"56 Bangalow Rd, Ballina NSW 2478, Australia",6.25,1.09,99,10/3/2023
HomeCo Castle Hill,"18 Victoria Avenue, Castle Hill NSW 2154, Australia",-33.727803,150.976049,"Car park opening hours Mon/Tue/Wed/Fri 9am - 6pm Thu 9am - 8:30pm Sat 9am -
5:30pm Sun 10am - 5:30pm",Evie Networks,2,4,50.065 kW,0,2,2,"3 Columbia Ct, Norwest NSW 2153, Australia",1.32,0.23,"98-100 Windsor Rd, Northmead NSW 2152, Australia",8.1,1.31,100,23/8/2022
Porsche Centre Willoughby,"445 Willoughby Rd, Willoughby NSW 2068, Australia",-33.810007,151.199649,Mon - Fri 8AM - 5PM Sat - Sun Closed,,2,2,22 - 350 kW,0,2,0,"61 Atchison St, Crows Nest NSW 2065, Australia",1.52,0.35,9 Eastern Valley Way (or 16 Harden Avenue) Northbridge NSW,1.62,0.38,101,10/3/2023
Porsche Newcastle,"34 Griffiths Rd, Lambton NSW 2299, Australia",-32.91361,151.723441,,,1,1,,0,1,0,"10 Rugby Rd, New Lambton, NSW, Australia, 2304",1.88,0.29,"59-61 Tudor St, Hamilton NSW 2303, Australia",3.52,0.56,102,10/3/2023
bp pulse Heatherbrae,"269 Pacific Hwy, Heatherbrae NSW 2324, Australia",-32.78331737,151.7370376,"Open 24/7
24/7",,1,2,75 kW,0,1,1,"7 Poynton Pl, Thornton NSW 2322, Australia",14.35,2.77,"2285 Pacific Hwy, Heatherbrae NSW 2324, Australia",1.2,0.19,103,10/3/2023
BP Wyoming (Coming Soon),"481 Pacific Hwy, Wyoming NSW 2250, Australia",-33.408131,151.350981,,,2,2,150 - 350 kW,0,2,0,"733 Pacific Hwy, Narara NSW 2250, Australia",2.95,0.69,"21cc Pacific Mwy, Alison NSW 2259, Australia",21.1,4.81,104,10/3/2023
Caltex Woolworths (Coming Soon),"9 Bay Village Rd, Bateau Bay NSW 2261, Australia",-33.373094,151.473563,,AmpCharge,5,5,335kW,0,5,0,"509 - 517 The Entrance Road, Long Jetty, NSW, Australia, 2261",0.75,0.1,"Cnr Mingara Dr & Wyong Rd, Tumbi Umbi NSW 2261",3.65,0.61,105,10/3/2023
Ampol Wentworthville (Coming Soon),"313 Great Western Highway South Wentworthville NSW 2145, Australia",-33.81631785,150.9716763,Open 24/7,AmpCharge,1,2,150kW,0,1,1,"50 Smith St, Wentworthville NSW 2145, Australia",1.6,0.3,"Darcy St &, Macquarie St, Parramatta NSW 2150, Australia",6.68,1.36,106,10/3/2023
bp pulse Penrith (Coming Soon),"2213 Castlereagh Rd, Penrith NSW 2750, Australia",-33.74356323,150.6923182,Open 24/7,Zero,1,2,75kW,0,2,0,"2140 Castlereagh Road Penrith NSW 2750, Australia",0.8,0.13,"221 Wolseley St, Jamisontown NSW 2750, Australia",4.12,0.72,107,10/3/2023
Shell Jamisontown,"221 Wolseley St, Jamisontown NSW 2750, Australia",-33.770295,150.673823,Open 24/7,Evie Networks,2,4,350 kW,0,2,2,"130a Batt Street, Penrith, NSW",2.48,0.42,"2213 Castlereagh Rd, Penrith NSW 2750, Australia",3.88,0.59,108,23/8/2022
BP Balgowlah,"485 Sydney Rd, Balgowlah NSW 2093, Australia",-33.79540882,151.2559649,Open 24/7,bp pulse,1,2,75 kW,0,2,0,"Stockland Balgowlah, 197-215 Condamine St, Balgowlah NSW 2093, Australia",1.72,0.31,"6 Myahgah Rd, Mosman NSW 2088, Australia",4.53,1.09,109,10/3/2023
Figtree Grove Shopping Centre (2),"Figtree Grove Shopping Centre, Figtree Grove Carpark, Figtree NSW 2525, Australia",-34.43779838,150.8634488,Open 24/7,Supercharger,6,6,250 kW,0,6,0,"19 Princes Hwy, Figtree NSW 2525, Australia",0.04,0.02,"Regent St, Wollongong NSW 2500, Australia",5.32,1.09,110,10/3/2023
BP Tumbi Umbi,"Cnr Mingara Dr & Wyong Rd, Tumbi Umbi NSW 2261",-33.36288685,151.4445016,Open 24/7,bp pulse,1,2,75 kW,0,1,1,"Mingara Dr opp Hansens Rd, Tumbi Umbi NSW 2261, Australia",0.4,0.1,"9 Bay Village Rd, Bateau Bay NSW 2261, Australia",4.15,0.75,111,10/3/2023
Ampol Woolworths MetroGo Northmead,"98-100 Windsor Rd, Northmead NSW 2152, Australia",-33.787777,150.994685,Open 24/7,AmpCharge,1,2,150 kW,0,1,1,"1 Eels Place, Parramatta NSW 2150",2.42,0.27,"Darcy St &, Macquarie St, Parramatta NSW 2150, Australia",7.4,1.62,112,5/5/2022
bp pulse Wiley Park,"24-42 King Georges Road, Wiley Park, NSW 2195",-33.91957312,151.0669475,"Open 24/7
24/7",,1,2,75 kW,0,1,1,"21 Roselands Ave, Roselands NSW 2196, Austral, Roselands 2196",2.5,0.5,"81 Wangee Rd, Lakemba NSW 2195, Australia",1.78,0.23,113,10/3/2023
BMW Sydney Rushcutters Bay,"65 Craigend St, Rushcutters Bay NSW 2010, Australia",-33.87725,151.227824,8:30am - 5:30pm weekdays 9am (Sat) 10am (Sun) - 5pm weekends,,2,4,50 kW,0,4,0,"203 Victoria St, Potts Point NSW 2011",0.85,0.34,"1 Bay St, Glebe NSW 2037, Australia",5.03,1.05,114,10/3/2023
Leichhardt Marketplace,"128 Flood Street, Leichhardt NSW 2040, Australia",-33.88518,151.148629,"Car park hours 6:30am - 10:30pm 7 days a week (May vary on public holidays) A
Land and Environment Court Order prohibits car park access outside of these
hours.",Evie Networks,2,4,50.065 kW,0,2,2,"41a/142 Addison Rd, Marrickville NSW 2204, Australia",3.22,0.55,"586A Parramatta Rd, Croydon NSW 2132, Australia",2.92,0.47,115,10/3/2023
bp pulse Macarthur,"2a Blaxland Rd, Campbelltown NSW 2560, Australia",-34.05317082,150.8236398,"Open 24/7
24/7",bp pulse,1,2,75 kW,0,2,0,"200 Gilchrist Dr, Campbelltown NSW 2560, Australia",3.85,0.77,"1 Art Gallery Rd, Campbelltown NSW 2560, Australia",3.58,0.64,116,10/3/2023
Porsche Centre Sydney South,"470 Gardeners Rd, Alexandria NSW 2015, Australia",-33.920826,151.194538,Weekdays 08:30 - 17:30,,2,2,22 - 350 kW,0,2,0,"154 O'Riordan St., Mascot, NSW, 2020",1.25,0.19,"34 Victoria Rd, Marrickville NSW 2204, Australia",2.95,0.47,117,10/3/2023
BP Asquith,"462 Pacific Hwy, Asquith NSW 2077, Australia",-33.68999427,151.1061347,Open 24/7,bp pulse,1,2,75 kW,0,2,0,"21 Station St, Thornleigh NSW 2120, Australia, Thornleigh 2120",6.82,1.29,200 Pennant Hills Rd Thornleigh NSW 2120,6.28,1.28,118,10/3/2023
Sydney Olympic Park,"9 Murray Rose Ave, Sydney Olympic Park NSW 2127, Australia",-33.84603863,151.0698039,Open 24/7,NRMA,1,2,50 kW,0,1,1,Pullman Sydney Olympic Park ,0.42,0.12,"2A Regatta Rd, Five Dock NSW 2046, Australia",6.35,1.21,119,5/5/2022
Westpac Parramatta Square,"Darcy St &, Macquarie St, Parramatta NSW 2150, Australia",-33.815581,151.004744,,Exploren,1,1,7 - 40 kW,0,1,0,"17 Wentworth St, Parramatta NSW 2150, Australia",1.95,0.4,"Fifth St, Parramatta NSW 2150",4.03,0.71,120,10/3/2023
Western Sydney University - Campbelltown Campus,"William Downes Avenue, Campbelltown NSW 2560 AU",-34.067758,150.788933,Open 24/7,,2,4,50 kW,0,3,1,"Lot 1 Mount Annan Dr, Mount Annan NSW 2567, Australia",3.2,0.65,"1 Art Gallery Rd, Campbelltown NSW 2560, Australia",2.48,0.35,122,5/5/2022
Parkes Swimming Pool,"27 Dalton St, Parkes NSW 2870, Australia",-33.1372177,148.1726205,Open 24/7,NRMA,1,2,50 kW,0,1,1,"14 Cross St, Forbes NSW 2871, Australia",33.3,8.45,"70 Currajong Street, Parkes NSW 2870, Australia",2.22,0.54,124,5/5/2022
Winbourne Rd Parking,"87 Winbourne Rd, Brookvale NSW 2100, Australia",-33.7620831,151.2725704,Open 24/7,JOLT,1,2,25kW,0,1,1,"485 Pittwater Rd, Brookvale NSW 2100, Australia",0.75,0.13,"485 Sydney Rd, Balgowlah NSW 2093, Australia",4.75,1.02,125,10/3/2023
West Tamworth League Club,"25 Park St, West Tamworth NSW 2340, Australia",-31.101649,150.917126,Open 24/7,Supercharger,4,4 (CCS/SAE compatible),120 kW,4,0,0,"52 Brisbane St, Tamworth NSW 2340, Australia",2.45,0.31,"2 Kable Ave, Tamworth NSW 2340, Australia",2.45,0.29,126,5/5/2022
Ashfield Mall,"260A Liverpool Road, Ashfield, NSW 2131",-33.8895619,151.1236298,"Open 24/7
6am - 11pm 7 days a week Coles close at 10pm so they close the carpark early.",Evie Networks,2,4,50.065 kW,0,2,2,"110 Brighton St, Croydon Park NSW 2133, Australia",1.7,0.31,"586A Parramatta Rd, Croydon NSW 2132, Australia",2.6,0.34,127,10/3/2023
Royal Randwick,"73 Belmore Road, Randwick NSW 2031, Australia",-33.915171,151.241129,"Parking open 6:00am - 10:00pm https://www.royalrandwick.com.au/centre-
info/parking",Evie Networks,2,4,50.065 kW,0,2,2,"49 St Pauls St, Randwick NSW 2031, Australia",0.68,0.1,"UNSW Mall Entrance, Anzac Pde, Kensington NSW 2052, Australia",2.5,0.27,128,5/5/2022
HomeCo Bankstown,"9-49 Chapel Road, Bankstown NSW 2200, Australia",-33.931975,151.030127,Open 24/7,Evie Networks,2,4,50.065 kW,0,2,2,"8 Greenfield Parade, Bankstown NSW 2200, Australia",2.05,0.37,"Milperra Rd, The River Rd, Revesby NSW 2212",1.48,0.3,129,5/5/2022
bp pulse Revesby,"Milperra Rd, The River Rd, Revesby NSW 2212",-33.93879088,151.0177757,Open 24/7,bp pulse,1,2,75.25kW,0,1,1,"8 Greenfield Parade, Bankstown NSW 2200, Australia",4.3,0.78,"9-49 Chapel Road, Bankstown NSW 2200, Australia",3.28,0.55,130,10/3/2023
Tesla Raymond Terrace (Coming Soon),"74 Benjamin Lee Dr, Raymond Terrace NSW 2324, Australia",-32.76104726,151.7751793,Open 24/7,Supercharger,15,15,250kW - 350kW,15,0,0,"6 Muir St, Medowie NSW 2318, Australia",13.25,2.61,"40 Richardson Rd, Raymond Terrace NSW 2324, Australia",1.62,0.28,131,10/3/2023
19/287 Victoria Rd Building,"19/287 Victoria Rd, Rydalmere NSW 2116, Austr, Rydalmere 2116",-33.812096,151.035754,,Exploren,6,6,60kW,0,6,0,"1 Eels Place, Parramatta NSW 2150",3.35,0.55,"Fifth St, Parramatta NSW 2150",1.42,0.21,132,10/3/2023
Western Sydney University - P16 Car Park,"Fifth St, Parramatta NSW 2150",-33.811239,151.023729,Open 24/7,,2,4,50kW,0,2,2,"1 Eels Place, Parramatta NSW 2150",3.15,0.53,"19/287 Victoria Rd, Rydalmere NSW 2116, Austr, Rydalmere 2116",2.8,0.52,133,5/5/2022
Spencer St & Regatta Rd Parking,"2A Regatta Rd, Five Dock NSW 2046, Australia",-33.869534,151.116173,Open 24/7,JOLT,1,2,25kW,0,1,1,49/53 Parramatta Rd Concord NSW 2137 AU,1.85,0.37,"586A Parramatta Rd, Croydon NSW 2132, Australia",2.58,0.44,134,5/5/2022
BP Ashfield,"586A Parramatta Rd, Croydon NSW 2132, Australia",-33.874062,151.126746,Open 24/7,Evie Networks,2,4,50.065 kW,0,2,2,49/53 Parramatta Rd Concord NSW 2137 AU,3.22,0.63,"2A Regatta Rd, Five Dock NSW 2046, Australia",1.48,0.25,135,10/3/2023
UNSW - School of Photovoltaic and Renewable Energy Engineering,"UNSW Mall Entrance, Anzac Pde, Kensington NSW 2052, Australia",-33.91799,151.226538,Open 24/7,ChargePoint,1,2,22 - 50 kW,0,1,1,"20 Oval Ln, Kensington NSW 2033, Australia",1.02,0.37,"73 Belmore Road, Randwick NSW 2031, Australia",2.15,0.58,136,10/3/2023
No 2 Sportsground,"Smith St, Newcastle West NSW 2302, Australia",-32.93036568,151.760711,Open 24/7,Chargefox,1,2,50 kW,0,1,1,"Wharf Rd & Merewether St, Newcastle NSW 2300, Australia",1.95,0.3,"59-61 Tudor St, Hamilton NSW 2303, Australia",1.82,0.29,137,5/5/2022
Ampol Hamilton (Coming Soon),"59-61 Tudor St, Hamilton NSW 2303, Australia",-32.92502001,151.7510204,Open 24/7,AmpCharge,2,4,335kW,0,3,1,"Smith St, Newcastle West NSW 2302, Australia",1.78,0.25,"Smith St, Newcastle West NSW 2302, Australia",1.78,0.25,138,10/3/2023
Hands of Fame Park,"2 Kable Ave, Tamworth NSW 2340, Australia",-31.090437,150.927465,Open 24/7,NRMA,1,2,50 kW,0,1,1,"52 Brisbane St, Tamworth NSW 2340, Australia",0.4,0.11,"25 Park St, West Tamworth NSW 2340, Australia",2.45,0.48,139,5/5/2022
Ampol Lakemba (Coming Soon),"81 Wangee Rd, Lakemba NSW 2195, Australia",-33.91158022,151.0733967,Open 24/7,AmpCharge,1,2,,0,1,1,"110 Brighton St, Croydon Park NSW 2133, Australia",4.08,0.76,"24-42 King Georges Road, Wiley Park, NSW 2195",1.27,0.26,140,10/3/2023
Macquarie Centre (2),"270 Talavera Rd, Macquarie Park NSW 2113, Australia",-33.776893,151.122247,Open 24/7,Evie Networks,2,4,50.065 kW,0,2,2,"63-71 Talavera Rd, Macquarie Park, New South Wales 2113, Australia",0.03,0.02,"55-61 Talavera Road,, Macquarie Park, North Ryde, NSW, Australia, 2113",1.88,0.43,141,5/5/2022
Northbridge Plaza,9 Eastern Valley Way (or 16 Harden Avenue) Northbridge NSW,-33.809326,151.208848,"Open 24/7
The designated spaces are chained up outside 0700 - 2200. However, one unit's
cables reach the space behind, and the other's cables reach the space beside.
Those other spaces are available 24/7.",Evie Networks,2,4,50.065 kW,0,2,2,"450 Miller St, Cammeray NSW 2062, Australia",2.35,0.53,"445 Willoughby Rd, Willoughby NSW 2068, Australia",1.23,0.15,142,23/8/2022
Wollongong Central - Regent St Entrance,"Regent St, Wollongong NSW 2500, Australia",-34.423975,150.892316,6:00AM - 12:00AM,Evie Networks,2,4,50.065 kW,0,2,2,"71 Market St, Wollongong NSW 2500, Australia",0.12,0.06,"17 Stewart St, Wollongong NSW 2500, Australia",1.35,0.15,143,10/3/2023
Stewart St East Car Park,"17 Stewart St, Wollongong NSW 2500, Australia",-34.428268,150.90015,Open 24/7,NRMA,2,4,75-175kW,0,2,2,"2-14 Cliff Rd, North Wollongong NSW 2500, Australia",1.65,0.35,"Regent St, Wollongong NSW 2500, Australia",1.35,0.34,144,5/5/2022
bp pulse Sydenham (Coming Soon),"339 Princes Hwy, St Peters NSW 2044, Australia",-33.91631873,151.1727898,,,1,2,75.25kW,0,2,0,"154 O'Riordan St., Mascot, NSW, 2020",2.4,0.38,"470 Gardeners Rd, Alexandria NSW 2015, Australia",2.28,0.35,145,10/3/2023
Marrickville Metro Shopping Centre,"34 Victoria Rd, Marrickville NSW 2204, Australia",-33.907982,151.170899,,Evie Networks,2,4,50.065 kW,0,2,2,"45 Edinburgh Rd, Marrickville NSW 2204, Australia",0.1,0.07,"470 Gardeners Rd, Alexandria NSW 2015, Australia",2.95,0.49,146,23/8/2022
Sovereign Place,"John Oxley Dr Before Chancellor Dr, Thrumster NSW 2444, Australia",-31.457966,152.827345,Open 24/7,NRMA,2,4,50 kW,0,2,2,"179 Gordon St, Port Macquarie, Australia, NSW 2444",8.02,1.64,"1063 Oxley Hwy, Thrumster NSW 2444, Australia",1.52,0.32,147,5/5/2022
Port Macquarie Service Centre,"1063 Oxley Hwy, Thrumster NSW 2444, Australia",-31.46395,152.821926,"Open 24/7
00:00 - 23:59",Chargefox,2,4,50 - 350 kW,0,2,2,"179 Gordon St, Port Macquarie, Australia, NSW 2444",8.72,1.83,"John Oxley Dr Before Chancellor Dr, Thrumster NSW 2444, Australia",1.08,0.14,148,5/5/2022
The Canopy Lane Cove (1),"2 Rosenthal Ave, Lane Cove NSW 2066, Australia",-33.813936,151.169298,"Carpark open 7 days, 6AM to 1AM",Evie Networks,2,4,50.065 kW,0,2,2,"2-24 Birdwood Lane, Lane Cove NSW 2066, Australia",1.3,0.21,"405 Pacific Hwy, Artarmon NSW 2064, Australia",2.05,0.49,150,5/5/2022
