Station name,Station address,Latitude,Longitude,Opening hours,Operator,Number of station,Number of plugs,Rating,Tesla (Fast),CCS/SAE,CHAdeMO,Address of nearest destination charger,Distance to the nearest destination charger (km),Energy required to nearest destination charger (kWh),Address of nearest fast charger,Distance to the nearest fast charger (km),Energy required to nearest fast charger (kWh),ObjectId,date_new
Mirvac South Eveleigh,"2 Central Ave, Eveleigh NSW 2015, Australia",-33.895823,151.196297,5am - 11:30pm,Chargefox,2,4,50 kW,0,2,2,"88 Broadway Hotel Entrance Via, 4 Central Park Ave, Chippendale NSW 2008, Australia",1.7,0.29,"133 Wyndham St Cnr Mcevoy St, Alexandria, NSW, 2015, Australia",1.08,0.15,151,5/5/2022
Ampol Woolworths MetroGo Alexandria,"133 Wyndham St Cnr Mcevoy St, Alexandria, NSW, 2015, Australia",-33.90214,151.20003,Open 24/7,AmpCharge,1,2,150 kW,0,1,1,"2 Central Ave, Eveleigh NSW 2015, Australia",0.92,0.18,"2 Central Ave, Eveleigh NSW 2015, Australia",0.92,0.18,152,23/8/2022
Western Sydney University - Kingswood Campus,"Second Avenue, Kingswood NSW 2747, Australia",-33.769905,150.729213,Open 24/7,,1,2,50kW,0,1,1,"82a O'Connell St, Kingswood NSW 2747, Australia",0.82,0.11,"2213 Castlereagh Rd, Penrith NSW 2750, Australia",6.85,1.1,153,5/5/2022
Raglan St West Car Park,"188 Raglan St, Mosman NSW 2088, Australia",-33.830986,151.243556,Open 24/7,Evie Networks,2,4,50.065 kW,0,2,2,"1 James Place, North Sydney NSW 2060, Australia",4.2,0.82,"6 Myahgah Rd, Mosman NSW 2088, Australia",1.05,0.23,154,10/3/2023
Mosman Civic,"6 Myahgah Rd, Mosman NSW 2088, Australia",-33.825551,151.241426,Open 24/7,Evie Networks,1,2,50 kW,0,1,1,"1 James Place, North Sydney NSW 2060, Australia",4.05,0.71,"188 Raglan St, Mosman NSW 2088, Australia",0.88,0.12,155,5/5/2022
Ocean St Parking,"5/16 Ocean St, Narrabeen NSW 2101, Australia",-33.71949606,151.2986274,Open 24/7,JOLT,1,2,25kW,0,1,1,"40 Kingsway, Dee Why NSW 2099, Australia",4.75,0.92,"9 Lagoon St, Narrabeen NSW 2101",0.9,0.14,156,10/3/2023
Lagoon St Carpark,"9 Lagoon St, Narrabeen NSW 2101",-33.7138449,151.2984042,Open 24/7,JOLT,1,2,25kW,0,1,1,"80-82 Mona Vale Road, Mona Vale NSW 2103, Australia",4.88,0.94,"5/16 Ocean St, Narrabeen NSW 2101, Australia",0.92,0.15,157,10/3/2023
Sylvania BMW Service and Parts Centre,"128 Parraweena Rd, Miranda NSW 2228",-34.02707437,151.1170471,Monday - Friday 7:30am - 5pm Sat & Sun Closed,,1,2,,0,2,0,"600 Kingsway, Mirandaâ€Ž NSWâ€Ž 2228, Australia",2.15,0.53,"Koonya Cct, Caringbah NSW 2229, Australia",0.9,0.16,158,10/3/2023
Bunnings Caringbah,"Koonya Cct, Caringbah NSW 2229, Australia",-34.02815,151.121855,6am - 9pm most days - check Bunnings hours,Exploren,1,2,50 kW,0,1,1,"600 Kingsway, Mirandaâ€Ž NSWâ€Ž 2228, Australia",2.88,0.66,"128 Parraweena Rd, Miranda NSW 2228",0.9,0.14,159,23/8/2022
Dan Murphy's Swansea,"36 Josephson St, Swansea NSW 2281, Australia",-33.08874886,151.6375876,Open 24/7,Evie Networks,2,4,50.065 kW,0,2,2,"228 Pacific Hwy, Swansea NSW 2281, Australia",0.48,0.11,"34 Griffiths Rd, Lambton NSW 2299, Australia",25.42,5.15,160,10/3/2023
Coles Tenterfield,"13 Crown St, Tenterfield NSW 2372, Australia",-29.05606654,152.0176587,Open 24/7,Supercharger,4,4,250 kW,0,4,0,"157 Manners St, Tenterfield NSW 2372, Australia",0.35,0.15,"265 Grey St, Glen Innes NSW 2370, Australia",91.8,24.9,161,10/3/2023
Audi Centre Sydney,"895 S Dowling St, Zetland NSW 2017, Australia",-33.907016,151.213019,Open 24/7,Chargefox,1,1,165 kW,0,1,0,"4 Defries Ave, Zetland NSW 2017, Australia",0.7,0.14,"2 Defries Ave, Zetland NSW 2017, Australia",0.18,0.08,162,5/5/2022
Mona Vale Library Car Park,"1 Park St, Mona Vale NSW 2103, Australia",-33.67606,151.303827,Open 24/7,JOLT,1,2,25kW,0,1,1,"80-82 Mona Vale Road, Mona Vale NSW 2103, Australia",1.27,0.38,"9 Lagoon St, Narrabeen NSW 2101",4.68,0.84,163,10/3/2023
Bathurst Visitor Information Centre (1),"1 Kendall Ave, Bathurst NSW 2795, Au",-33.41901,149.586756,Open 24/7,Supercharger,6,6 (CCS/SAE compatible),120 kW,6,0,0,"121 Howick St
Bathurst NSW 2795, Australia",0.52,0.14,"Orange Civic Centre Car Park, 151A Byng St, Orange NSW 2800, Australia",56.38,14.36,165,5/5/2022
Wilcannia Hospital,"1 - 7 Ross St, Wilcannia NSW 2836, Australia",-31.557629,143.386007,Open 24/7,NRMA,2,4,75 kW,0,2,2,"18 Tramway Terrace, Broken Hill NSW 2880",200.18,61.12,"Kintore Headframe Car Park, 51 Bromide St, Broken Hill, NSW 2880, Australia",197.6,60.56,166,5/5/2022
Broken Hill,"Kintore Headframe Car Park, 51 Bromide St, Broken Hill, NSW 2880, Australia",-31.959618,141.45957,Open 24/7,NRMA,1,2,50 kW,0,1,1,"18 Tramway Terrace, Broken Hill NSW 2880",2.15,0.33,"1 - 7 Ross St, Wilcannia NSW 2836, Australia",197.6,58.22,167,5/5/2022
Knockrow Supercharger,"419 Hinterland Way, Knockrow NSW 2479, Australia",-28.749539,153.534722,"Open 24/7
Charger 24/7 Business Monday - Sunday 9am - 4pm",Supercharger,6,6 (CCS/SAE compatible),120 kW,6,0,0,"1699 Pacific Highway Knockrow New South Wales 2479, Australia",0.05,0.02,"41 Bruxner Hwy, West Ballina NSW 2478, Australia",14.4,3.1,168,5/5/2022
The Farm Byron Bay,"11 Ewingsdale Rd, Ewingsdale NSW 2481, Australia",-28.636128,153.55346,Open 24/7,NRMA,2,4,50 kW,0,2,2,"91 Centennial Circuit, Byron Bay NSW 2481, Australia",3.7,0.55,1 Porter Street Byron Bay NSW 2481 AU,4.32,0.66,169,5/5/2022
Byron Bay Library,"28 Lawson Street, Byron Bay NSW 2481, Australia",-28.643274,153.615874,"Open 24/7
Strict 30 minute time limit to allow others to use the charger. Byron Shire
Council does ticket vehicles who overstay.",Chargefox,1,2,50 kW,0,1,1,"20 Bay St, Byron Bay NSW 2481, Australia",0.4,0.11,1 Porter Street Byron Bay NSW 2481 AU,4.1,0.64,170,5/5/2022
Elements of Byron Bay Car Park,"144 Bayshore Dr, Byron Bay NSW 2481",-28.626456,153.58658,Open 24/7,Chargefox,1,2,50 kW,0,1,1,1 Porter Street Byron Bay NSW 2481 AU,0.78,0.14,1 Porter Street Byron Bay NSW 2481 AU,0.78,0.14,171,5/5/2022
Dubbo Supercharger,"76 Wingewarra Street, Dubbo, Australia, 2830",-32.2497658,148.6101332,Open 24/7,Supercharger,4,4 (CCS/SAE compatible),120 kW,4,0,0,,,,,,,,5/5/2022
Port Macquarie Supercharger,"10 Winery Drive, Port Macquarie, Australia, 2444",-31.4179402,152.8253421,Open 24/7,Supercharger,6,6 (CCS/SAE compatible),120 kW,6,0,0,,,,,,,,5/5/2022
Narooma Supercharger,"183 Princes Highway, Narooma, Australia, ",-36.2593414,150.1301376,,Supercharger,4,4 (CCS/SAE compatible),120 kW,4,0,0,,,,,,,,5/5/2022
Brewarrina Visitor Information & Exhibition Centre (Coming Soon),"Car park, Visitors Information Centre, 50 Bathurst Street, Brewarrina, NSW 2839",-29.96022661,146.8579639,Open 24/7,NRMA,2,4,75kW,0,2,2,,,,,,,,5/5/2022
Tenterfield Visitors Information Centre,"157 Rouse Street, Tenterfield",-29.058428,152.0182734,Open 24/7,NRMA,1,2,50 kW,0,1,1,,,,,,,,5/5/2022
Caltex Macksville,"Caltex Macksville, 22 Cooper St, Macksville 2447",-30.70973736,152.9198429,Open 24/7,Evie Networks,2,4,350 kW,0,2,2,,,,,,,,5/5/2022
Caddens Corner,"82a O'Connell St, Kingswood NSW 2747, Australia",-33.7687302,150.734742,Open 24/7,Evie Networks,1,2,22.016 - 50 kW,0,1,1,,,,,,,,5/5/2022
Innovation Campus - SBRC Building 237,"160 Innovation Way, North Wollongong NSW 2500, Australia",-34.4038181,150.8977853,Open 24/7,,1,2,50 kW,0,1,1,,,,,,,,5/5/2022
Ampol Seven Hills,"38 Abbott Rd, Seven Hills 2147, Australia",-33.7679303,150.943623,Open 24/7,Evie Networks,2,4,350 kW,0,2,2,,,,,,,,5/5/2022
Ampol Alexandria (Coming Soon),"133 McEvoy St, Alexandria NSW 2015, Australia",-33.9020829,151.1988168,,AmpCharge,1,2,150 kW,0,1,1,,,,,,,,5/5/2022
East Village Shopping Centre,"4 Defries Ave, Zetland NSW 2017, Australia",-33.9055882,151.2130576,"Daily, 6:00am - Midnight","Chargefox,",2,4,22 - 350 kW,0,3,1,,,,,,,,5/5/2022
Mulwala Water Ski Club (Coming Soon),"156 Melbourne St, Muwlala NSW 2647",-35.99477015,146.001637,"Open 24/7
9:30am to 11:00pm",Chargebay,2,4,kW,0,3,1,,,,,,,,1/7/2023
Dan Murphy's Batemans Bay,"51/53A Orient St, Batemans Bay NSW 2536, Australia",-35.709928,150.177723,,Evie Networks,1,2,50.116 kW,0,2,0,,,,,,,,1/7/2023
KFC Goulburn Sth (Coming Soon),"183 Hume St, Goulburn NSW 2580, Australia",-34.77213604,149.6927194,,,1,2,kW,0,2,0,,,,,,,,1/7/2023
Middy's Wagga Wagga East (Coming Soon),"176 Hammond Ave (Cnr, Stuart Rd, East Wagga Wagga NSW 2650, Australia",-35.1237268,147.398997,"Open 24/7
Weekdays: 7am - 5pm Saturdays: 8am - 12pm",Everty,1,2,kW,0,1,1,,,,,,,,1/7/2023
Wagga Wagga Cross St Car Park,"8/24 Cross St, Wagga Wagga, NSW 2650",-35.108358,147.37355,Open 24/7,NRMA,1,2,50 kW,0,1,1,,,,,,,,1/7/2023
NRMA Mudgee Short Street (Coming Soon),"Public Carpark, 47 Short Street, Mudgee NSW 2850",-32.5897926,149.5856993,Open 24/7,NRMA,2,4,kW,0,3,1,,,,,,,,1/7/2023
Orange (Coming Soon),"260 Peisley St, Orange NSW 2800, Australia",-33.2803485,149.1045578,,,6,6,250kW - 350kW,0,6,0,,,,,,,,1/7/2023
Oliver's Gundagai (2),"31 Annie Pyers Dr, Gundagai NSW 2722, Australia",-35.002013,148.109889,Open 24/7,Supercharger,6,6 (CCS/SAE compatible),120 kW,6,0,0,,,,,,,,1/7/2023
NRMA Charger Parkes,"Carpark of Parkes Swimming Pool, 27-29 Dalton St, Parkes NSW 2870, Australia",-33.13717696,148.1726352,,,1,2,50kW,0,1,1,,,,,,,,1/7/2023
Lake Macquarie Visitor Information Centre,"228 Pacific Hwy, Swansea NSW 2281, Australia",-33.091852,151.637364,Open 24/7,Everty,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
Soldiers Point Marina,"2 Sunset Blvd, Soldiers Point NSW 2317, Australia",-32.701437,152.062622,,Chargefox,1,2,24 kW,0,1,1,,,,,,,,1/7/2023
Lake Haven Shopping Centre,"Cnr Lake Haven Dr, Lake Haven NSW 2263, Australia",-33.24019102,151.5037613,,Chargefox,1,2,120kW,0,2,0,,,,,,,,1/7/2023
Toronto Commercial Centre Carpark,"7 Pemell St, Toronto NSW 2283, Australia",-33.01436532,151.5957632,,Exploren,1,2,40 kW,0,2,0,,,,,,,,1/7/2023
Ampol Woolworths MetroGo Dural  (Coming Soon),"921 Old Northern Rd, Dural NSW 2158, Australia",-33.68299243,151.0285427,Open 24/7,AmpCharge,1,2,150kW,0,1,1,,,,,,,,1/7/2023
Hope St Parking Lot,"126 Hope St, Blaxland NSW 2774, Australia",-33.7451971,150.6103969,Open 24/7,Supercharger,6,6,250 kW,0,6,0,,,,,,,,1/7/2023
Ampol Woolworths MetroGo Charlestown (Coming Soon),"81 Pacific Hwy, Charlestown NSW 2290, Australia",-32.9672677,151.6954208,Open 24/7,AmpCharge,1,2,150kW,0,1,1,,,,,,,,1/7/2023
Ampol Woolworths MetroGo St Ives (Coming Soon),"164 Mona Vale Rd, St Ives NSW 2075, Australia",-33.7306437,151.1571089,Open 24/7,AmpCharge,1,2,150kW,0,1,1,,,,,,,,1/7/2023
Sungrow Power Australia Warehouse,"91 Victoria St, Smithfield NSW 2164, Australia",-33.8511379,150.934316,9am - 5:30,Everty,1,1,30kW,0,1,0,,,,,,,,1/7/2023
AmpControl,"726 Tomago Rd, Tomago NSW 2322, Australia",-32.82289869,151.7031403,Monday - Friday office hours,,2,4,75 kW,0,2,2,,,,,,,,1/7/2023
Darley St Parking,"10 Darley St, Forestville NSW 2087, Australia",-33.762097,151.214184,Open 24/7,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
Concord Land Rover (Coming Soon),49/53 Parramatta Rd Concord NSW 2137 AU,-33.868289,151.10386,,,1,1,25 kW,0,1,0,,,,,,,,1/7/2023
Greenway Wetherill Park,1183-1187 The Horsley Drive Wetherill Park NSW 2164 AU,-33.85040311,150.8984016,,Chargefox,1,2,120kW,0,2,0,,,,,,,,1/7/2023
Red Rooster Guildford,"322 Woodville Road Guildford, NSW 2161, Australia",-33.8521028,150.9955836,Open 24/7,Evie Networks,2,4,50.065 kW,0,2,2,,,,,,,,1/7/2023
BP Ingleburn,"89 Williamson Road, MacDonald Rd, Ingleburn NSW 2565, Australia",-33.98873226,150.8592698,Open 24/7,bp pulse Australia,2,4,75.25 kW,0,4,0,,,,,,,,1/7/2023
Ampol Foodary Marsden Park (Coming Soon),"875 Richmond Rd, Marsden Park NSW 2765, Australia",-33.71606446,150.8443544,Open 24/7,AmpCharge,1,2,150kW,0,1,1,,,,,,,,1/7/2023
Allambie Grove Business Park,"25 Frenchs Forest Rd E Frenchs Forest, NSW 2086",-33.75133669,151.2434692,,Evie Networks,2,4,150 kW,0,4,0,,,,,,,,1/7/2023
Eagers Automotive - Hoxton Park,"402 Hoxton Park Rd, Prestons NSW 2170, Australia",-33.928919,150.877474,,Exploren,1,1,40 kW,0,1,0,,,,,,,,1/7/2023
Ampol Foodary Edmondson Park (Coming Soon),"2072 Camden Valley Way, Edmondson Park NSW 2174, Australia",-33.95554925,150.865275,Open 24/7,AmpCharge,1,2,150kW,0,1,1,,,,,,,,1/7/2023
Treacy St Parking,"Treacy St, Hurstville NSW 2220, Australia",-33.967847,151.106052,Open 24/7,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
BP Pulse Kellyville (Coming Soon),"19-23 Windsor Rd, Kellyville NSW 2155, Australia",-33.71278368,150.9591265,,,1,1,75kW,0,1,0,,,,,,,,1/7/2023
Ampol Woolworths MetroGo Hazelbrook (Coming Soon),"198-199 Great Western Hwy, Hazelbrook NSW 2779, Australia",-33.72104211,150.452198,Open 24/7,AmpCharge,1,2,150kW,0,1,1,,,,,,,,1/7/2023
Chatswood Chase,"345 Victoria Ave, Chatswood NSW 2067, Australia",-33.7942587,151.1861126,Shopping hours,Chargefox,1,2,120kW,0,2,0,,,,,,,,1/7/2023
Richmond Road,"19 Richmond Rd, Homebush West NSW 2140, Homebush West 2140",-33.866056,151.064444,Open 24/7,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
Auburn Megamall (Coming Soon),"265 Parramatta Rd, Auburn NSW 2144",-33.8376443,151.0277721,,,6,6,250kW - 350kW,0,6,0,,,,,,,,1/7/2023
Campbelltown Catholic Club,"22 Camden Rd, Campbelltown NSW 2560",-34.07153315,150.8073678,,Supercharger,12,12,250 kW,0,12,0,,,,,,,,1/7/2023
Warriewood Square,"12 Jacksons Rd, Warriewood NSW 2102, Australia",-33.69574101,151.2967921,,Chargefox,1,2,120kW,0,2,0,,,,,,,,1/7/2023
Bankstown Central (Coming Soon),"Shop SP322 Bankstown Central, Stacey St, Bankstown NSW 2200, Australia",-33.91606758,151.0383706,,,6,6,250kW - 350kW,0,6,0,,,,,,,,1/7/2023
"Oaks Ave, Dee Why","4-16 Oaks Ave, Dee Why NSW 2099, Australia",-33.753704,151.287004,Open 24/7,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
Beecroft Village Plaza,"107 Beecroft Rd, Beecroft NSW 2119",-33.75046555,151.0650469,Open 24/7,JOLT,1,2,25kW,0,1,1,,,,,,,,1/7/2023
Stanley St Parking,"28 Stanley St, Peakhurst NSW 2210, Australia",-33.962184,151.063572,Open 24/7,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
Civic Plaza 88 Christie (2),"88 Christie St, St Leonards NSW 2065, Australia",-33.82378797,151.1951941,6am - 1am daily,Evie Networks,2,4,50.065 kW,0,2,2,,,,,,,,1/7/2023
BP Revesby,"Milperra Rd AUS AU, The River Rd, Revesby NSW 2212, Australia",-33.93878937,151.0177765,Open 24/7,bp pulse Australia,1,2,75 - 75.25 kW,0,1,1,,,,,,,,1/7/2023
Ampol Foodary Brownsville (Coming Soon),"342 Kanahooka Rd, Brownsville NSW 2530, Australia",-34.48575434,150.8064239,Open 24/7,AmpCharge,1,2,150kW,0,1,1,,,,,,,,1/7/2023
Pennant Hills Toyota,"330 Pennant Hills Rd, Pennant Hills NSW 2120, Australia",-33.7366211,151.0743388,,Chargefox,1,2,50 kW,0,2,0,,,,,,,,1/7/2023
Roselands,"24 Roselands Dr, Roselands NSW 2196, Australia",-33.93500838,151.069206,,Chargefox,1,2,120 kW,0,2,0,,,,,,,,1/7/2023
Eve Apartments,"72 MacDonald St, Erskineville NSW 2043, Austr, Erskineville 2043",-33.903914,151.185922,,Exploren,1,2,40 kW,0,2,0,,,,,,,,1/7/2023
133 Liverpool Road,"133 Liverpool Road, Burwood NSW 2134, Australia",-33.887273,151.099333,,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
"Brighton St, Croydon Park","110 Brighton St, Croydon Park NSW 2133, Australia",-33.894755,151.10969,,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
Cook St Parking,"22 Cook st, Mortdale NSW 2223, Australia",-33.970228,151.080159,,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
Letitia St & Frederick St Parking,"20 Letitia St, Oatley NSW 2223, Australia",-33.981597,151.081572,Open 24/7,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
Queen Street Carpark (Dorhauer Lane),"Dorhauer Lane, Woollahra Sydney, NSW 2025, Australia",-33.88847211,151.2375874,Open 24/7,Evie Networks,1,2,50.116 kW,0,2,0,,,,,,,,1/7/2023
Ampol Foodary Greenacre (Coming Soon),"87-91 Roberts Rd, Greenacre NSW 2190, Australia",-33.90462854,151.0647483,Open 24/7,AmpCharge,1,2,150kW,0,1,1,,,,,,,,1/7/2023
Goodwood St Parking,"110 Anzac Parade, Kensington NSW 2033, Australia",-33.907121,151.224119,,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
Anzac Parade Car Park,"827 Anzac Parade, Maroubra NSW 2035, Australia",-33.943551,151.239711,Open 24/7,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
Morgan St Parking,"Morgan St, Beverly Hills NSW 2209, Australia",-33.949251,151.081229,Open 24/7,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
Broadarrow Rd Parking,"42 Broad Arrow Rd, Narwee NSW 2209, Australia",-33.948425,151.071068,Open 24/7,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
Ampol Foodary Wollongong North (Coming Soon),"9 Flinders St, Wollongong NSW 2500, Australia",-34.41516516,150.8931358,Open 24/7,AmpCharge,1,2,150kW,0,1,1,,,,,,,,1/7/2023
65 Reserve Rd Building,"65 Reserve Rd, St Leonards NSW 2065, Australia",-33.81845321,151.1891883,,Chargefox,1,1,22kW,0,1,0,,,,,,,,1/7/2023
Heffron Centre - Carpark,"Bunnerong Rd opp Southpoint Shops, Maroubra NSW 2035, Australia",-33.95098114,151.2320709,Open 24/7,Chargefox,4,8,25 kW,0,4,4,,,,,,,,1/7/2023
Beauchamp Rd Parking,"151 Beauchamp Rd, Matraville NSW, Australia",-33.95632342,151.2265971,Open 24/7,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
JOLT Perry St (RAN004),"550 Bunnerong Rd, Matraville NSW 2036, Australia",-33.96104423,151.2309394,Open 24/7,JOLT,1,2,25kW,0,1,1,,,,,,,,1/7/2023
Everton Park,"Everton Park, 26 Everton Rd, Strathfield NSW 2135, Australia",-33.872106,151.095801,Open 24/7,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
Park Ave Parking,"30 Park Ave, Burwood NSW 2134, Australia",-33.873878,151.10192,Open 24/7,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
BP Caringbah,"Captain Cook Dr and, Cawarra Rd, Caringbah NSW 2229, Australia",-34.03282054,151.1248971,Open 24/7,Evie Networks,2,4,50.065 kW,0,2,2,,,,,,,,1/7/2023
Heatherbrae's Pies Exeter,"24 Sallys Corner Rd, Exeter NSW 2579, Australia",-34.60926271,150.2299553,Open 24/7,Supercharger,6,6,250 kW,0,6,0,,,,,,,,1/7/2023
Ampol Foodary Concord (Coming Soon),"87-89 Parramatta Road, Concord NSW 2137",-33.8678823,151.0993269,Open 24/7,AmpCharge,1,2,150kW,0,1,1,,,,,,,,1/7/2023
Ampol Foodary Pheasants Nest Southbound,"South Bound, Hume Hwy, Pheasants Nest NSW 2574, Australia",-34.28254012,150.6397707,Open 24/7,AmpCharge,3,9,50 - 150 kW,0,6,3,,,,,,,,1/7/2023
Ampol Foodary Pheasants Nest Northbound (Coming Soon),"Lots 1 & 2 Hume Hwy, Pheasants Nest, NSW, 2574",-34.28321378,150.6364411,Open 24/7,AmpCharge,3,9,100 - 150 kW,0,6,3,,,,,,,,1/7/2023
Motor Traders' Association of New South Wales,"214 Parramatta Rd, Burwood NSW 2134, Australia",-33.86973363,151.1105925,Open 24/7,Everty,2,2,60 kW,0,2,0,,,,,,,,1/7/2023
Dan Murphy's Burwood,"312 Parramatta Rd, Burwood NSW 2134, Australia",-33.86937549,151.1077687,Open 24/7,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
Ampol Foodary Penrith,"153 Coreen Ave, Penrith NSW 2750, Australia",-33.74299278,150.6929624,Open 24/7,AmpCharge,1,2,100 - 180 kW,0,1,1,,,,,,,,1/7/2023
BP Rosehill,"113 Hassall St, Rosehill NSW 2142, Australia",-33.81967545,151.0212402,Open 24/7,bp pulse Australia,1,2,75.25 kW,0,2,0,,,,,,,,1/7/2023
Macquarie Centre (2),"105–107 Waterloo Rd, Macquarie Park NSW 2113, Australia",-33.776893,151.122247,Open 24/7,Evie Networks,2,4,50.065 kW,0,2,2,,,,,,,,1/7/2023
JOLT Gardeners Road 1,"904 Gardeners Rd, Mascot NSW 2020, Au",-33.9206552,151.1913821,Open 24/7,JOLT,1,2,25 kW,0,1,1,,,,,,,,1/7/2023
JOLT Gardeners Road 2,"904 Gardeners Rd, Mascot NSW 2020, Australia",-33.92065369,151.1915811,Open 24/7,JOLT,1,2,25kW,0,1,1,,,,,,,,1/7/2023
BP Seven Hills,"26 Abbott Rd, Seven Hills NSW 2147, Australia",-33.7671723,150.9518457,Open 24/7,bp pulse Australia,1,2,75.25 kW,0,2,0,,,,,,,,1/7/2023
Lancaster Motor Group,1 Waddell's Lane Singleton NSW 2330,-32.57696806,151.1841952,Monday - Friday 7:30am - 5:30pm Saturday- 9am - 4pm Sunday - Closed,Everty,1,2,100kW,0,2,0,,,,,,,,1/7/2023
BP Fairy Meadow,"Northgate Ctr, 224/224 Princes Hwy, Fairy Meadow NSW 2519, Australia",-34.40330246,150.8914438,Open 24/7,bp pulse Australia,1,2,75.25 kW,0,2,0,,,,,,,,1/7/2023
BP Wiley Park,"24-42 King Georges Rd, Wiley Park NSW 2195, Australia",-33.91957312,151.0669475,Open 24/7,bp pulse Australia,1,2,75 - 75.25 kW,0,1,1,,,,,,,,1/7/2023
bp Nambucca Heads,"5 Boggy Creek Rd, Valla NSW 2448, Australia",-30.62671183,152.9724759,Open 24/7,bp pulse Australia,1,2,75 - 75.25 kW,0,1,1,,,,,,,,1/7/2023
bp Coffs Harbour,"136 Pacific Hwy, Coffs Harbour NSW 2450, Australia",-30.291502,153.118159,,bp pulse Australia,1,2,75.25 kW,0,2,0,,,,,,,,1/7/2023
Tesla Coffs Harbour South (Coming Soon),"211 Pacific Hwy, Coffs Harbour NSW 2450, Australia",-30.30824366,153.1018929,Open 24/7,Supercharger,15,15,250kW - 350kW,0,15,0,,,,,,,,1/7/2023
BP Ballina Travel Centre,"AUS AU, 41 Bruxner Wy, West Ballina NSW 2478, Australia",-28.86186233,153.5167396,Open 24/7,bp pulse Australia,1,2,75.25 kW,0,2,0,,,,,,,,1/7/2023
IKEA Tempe,"634-726 Princes Hwy, Tempe NSW 2044, Australia",-33.92256846,151.1656652,Weekdays 8am - 10pm Weekends 8am - 8pm Gate closes 1h after IKEA closes,Evie Networks,1,2,300kW,0,2,0,,,,,,,,1/7/2023
NRMA Braidwood (Coming Soon),"15 Victory St, Braidwood NSW 2622",-35.44278668,149.7913889,Open 24/7,NRMA,2,4,,0,2,2,,,,,,,,
Quality Hotel Rules Club Supercharger (Coming Soon),"188 Fernleigh Rd, Wagga Wagga NSW 2650, Australia",-35.13070157,147.34015,TBC,Supercharger,6,6,,0,6,0,,,,,,,,