,Site Address,Postcodes,Applicant,Charging_bays,Charger_capacities,lat,lng
1,"59 Tudor St, Hamilton NSW 2303, Australia",2303,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,-32.9248179,151.7518848
2,"M1 North Bound Freeway, Wyong NSW, 2259",2259,Ampol Australia Energy Pty Ltd,10,One 335kW charger will service every two bays at this station.,-33.2788484,151.4055382
3,"12 Bay Village Rd, Bateau Bay NSW 2261, Australia",2261,Ampol Australia Energy Pty Ltd,10,One 335kW charger will service every two bays at this station.,-33.3761478,151.4736688
4,"M4 MotorwayWestbound,EasternCreek, New South Wales, 2766",2766,Ampol Australia Energy Pty Ltd,10,One 335kW charger will service every two bays at this station.,-33.7966292,150.8487996
5,"1 Rockdale Plaza Dr, Rockdale NSW 2216, Australia",2216,Ampol Australia Energy Pty Ltd,8,One 335kW charger will service every two bays at this station.,-33.9578641,151.1399945
6,"271 Queen St, Campbelltown NSW 2560, Australia",2560,Ampol Australia Energy Pty Ltd,10,One 335kW charger will service every two bays at this station.,-34.0682928,150.8098231
7,"Cnr Pacific Highway & Stadium Road, Coffs Harbour, 2450)",2450,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,-30.32100419,153.0869707
8,"177 Macquarie St, Dubbo NSW 2830, Australia",2830,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,-32.2502378,148.5999219
9,"1403 Princes Hwy, Heathcote NSW 2233, Australia",2233,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,-34.0904416,151.0039066
10,"36 Parkes Rd, Forbes NSW 2871, Australia",2871,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,-33.3706092,148.0180315
11,"217 Auburn St, Goulburn NSW 2580, Australia",2580,Ampol Australia Energy Pty Ltd,6,One 335kW charger will service every two bays at this station.,-34.752476,149.7211451
12,"Albury St, Holbrook NSW 2644, Australia",2644,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,-35.7231693,147.3143159
13,"2 Alison Rd, Randwick NSW 2031, Australia",2031,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,-33.9066063,151.2320332
14,"737 Anzac Pde, Maroubra NSW 2035, Australia",2035,Ampol Australia Energy Pty Ltd,8,One 335kW charger will service every two bays at this station.,-33.9401323,151.2376921
15,"227 Summer St, Orange NSW 2800, Australia",2800,Ampol Australia Energy Pty Ltd,6,One 335kW charger will service every two bays at this station.,-33.2828439,149.1002549
16,"12 Hume Hwy, Pheasants Nest NSW 2574, Australia",2574,Ampol Australia Energy Pty Ltd,6,One 335kW charger will service every two bays at this station.,-33.9164121,150.9204251
17,"Hume Hwy, Pheasants Nest NSW 2574, Australia",2574,Ampol Australia Energy Pty Ltd,6,One 335kW charger will service every two bays at this station.,-34.28248981,150.6370642
18,"1285-1289 Canterbury Rd, Punchbowl NSW 2196, Australia",2196,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,-33.9314597,151.0596341
19,"56 John St, Singleton NSW 2330, Australia",2330,Ampol Australia Energy Pty Ltd,4,One 335kW charger will service every two bays at this station.,-32.5676452,151.1638101
20,"422 Pacific Hwy, Artarmon NSW 2064, Australia",2064,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-33.8114056,151.175596
21,"214 Sydney Rd, Kelso NSW 2795, Australia",2795,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-33.4191636,149.6076819
22," 134 Seven Hills Rd, Baulkham Hills NSW 2153, Australia",2153,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-33.7616125,150.9740938
23,"444 West Botany St, Rockdale NSW 2216, Australia",2216,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-33.95986742,151.1457236
24,"481 Pacific Hwy, Wyoming NSW 2250, Australia",2250,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-33.4080029,151.3511185
25,"Cnr Cumberland Hwy & Cabramatta Rd W, Cabramatta NSW 2166, Australia",2166,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-33.8993725,150.9191077
26,"712 Pennant Hills Rd, Carlingford NSW 2118, Australia",2118,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-33.7637531,151.0473629
27,"149 Great Western Hwy, Mays Hill NSW 2145, Australia",2145,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-33.8193849,150.9893102
28,"1233 Victoria Rd, West Ryde NSW 2114, Australia",2114,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-33.8067305,151.0708812
29,"1234 Princes Hwy, Engadine NSW 2233, Australia",2233,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-34.0773764,151.011183
30,"13 Southey St, Jerilderie NSW 2716, Australia",2716,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-35.3552251,145.7224171
31,"156 Prospect Hwy, Seven Hills NSW 2147, Australia",2147,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-33.769198,150.9416014
32,"7 Northwood Rd, Longueville NSW 2066, Australia",2066,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-33.824457,151.172717
33,"76 Glossop St, North St Marys NSW 2760, Australia",2760,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-33.7601,150.7816
34," 362 Macquarie St, South Windsor NSW 2756, Australia",2756,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-33.6248393,150.8004409
35,"1 Tasman Rd, Gumly Gumly NSW 2652, Australia",2652,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,-35.1262153,147.4208819
36,"197 Beardy St, Armidale NSW 2350, Australia",2350,Fast Cities Australia Pty Ltd,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-30.51220476,151.6647084
37,"124 Corner Princes Highway and Port Hacking Rd, Sylvania NSW 2224, Australia",2224,Fast Cities Australia Pty Ltd,6,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-34.0079119,151.1057425
38,"152 Church St, Glen Innes NSW 2370, Australia",2370,Fast Cities Australia Pty Ltd,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-29.7381427,151.7376761
39,"80 Princes Hwy, Narooma NSW 2546, Australia",2546,Fast Cities Australia Pty Ltd,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-36.2169752,150.1277033
40,"King St, Coolongolook, NSW, 2423 ",2423,Fast Cities Australia Pty Ltd,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-32.2188348,152.3220956
41,"502/504 Peel St, Tamworth NSW 2340, Australia",2340,Fast Cities Australia Pty Ltd,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-31.0970389,150.9361899
42,"85 South St, Ulladulla NSW 2539, Australia",2539,Fast Cities Australia Pty Ltd,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-35.3595695,150.475396
43,"250 Sydney Rd, Kelso NSW 2795, Australia",2795,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-33.41885933,149.6271068
44,"4 Commercial Rd, Rouse Hill NSW 2155, Australia",2155,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-33.6863741,150.9230744
45,"220 Taren Point Rd, Caringbah NSW 2229, Australia",2229,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-34.0295487,151.1209819
46,"1985 Camden Valley Way, Prestons NSW 2170, Australia",2170,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-33.9520882,150.855437
47,"106 Vale St, Cooma NSW 2630, Australia",2630,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-36.2370012,149.1260172
48,"82 Mulgoa Rd, Jamisontown NSW 2750, Australia",2750,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-33.7646656,150.6824264
49,"29 Perry St, Euston NSW 2737, Australia",2737,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-34.5765963,142.7428195
50,"Watson St, Molong NSW 2866, Australia",2866,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-33.0962463,148.8703135
51,"1 Munster St, Port Macquarie NSW 2444, Australia",2444,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-31.4275162,152.9105133
52,"121 Crawford St, Queanbeyan NSW 2620, Australia",2620,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-35.3492798,149.23065
53,"43 Tweed Coast Rd, Bogangar NSW 2488, Australia",2488,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-28.3320249,153.5691562
54,"525 David St, Albury NSW 2640, Australia",2640,"Tesla Motors Australia, Pty Ltd",15,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-36.0801872,146.9192527
55,"49-59 O'Riordan St, Alexandria NSW 2015, Australia",2015,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.9141611,151.1948556
56,"Jessie St, Armidale NSW 2350, Australia",2350,"Tesla Motors Australia, Pty Ltd",4,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-30.51297852,151.6635439
57,"265 Parramatta Rd, Auburn NSW 2144, Australia",2144,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.8377201,151.0280802
58,"84 Kerr St, Ballina NSW 2478, Australia",2478,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-28.8596965,153.5591493
59,"1 Perry St, Batemans Bay NSW 2536, Australia",2536,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-35.7073463,150.175802
60,"176 Auckland St, Bega NSW 2550, Australia",2550,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-36.6779701,149.8404382
61,"Blue Gum Rd, Jesmond NSW 2299, Australia",2299,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-32.8980296,151.6918902
62,"5 Charlton St, Woy Woy NSW 2256, Australia",2256,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.4884791,151.3226386
63,"71 Spring St, Bondi Junction NSW 2022, Australia",2022,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.8925239,151.2478264
64,"1 Art Gallery Rd, Campbelltown NSW 2560, Australia",2560,"Tesla Motors Australia, Pty Ltd",9,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-34.07280739,150.8091418
65,"345 Victoria Ave, Chatswood NSW 2067, Australia",2067,"Tesla Motors Australia, Pty Ltd",9,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.7945647,151.18613
66,"211 Pacific Hwy, Coffs Harbour NSW 2450, Australia",2450,"Tesla Motors Australia, Pty Ltd",15,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-30.30829002,153.1019758
67,"19 Princes Hwy, Figtree NSW 2525, Australia",2525,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-34.4366153,150.8632982
68,"1 Bay St, Jindabyne NSW 2627, Australia",2627,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-36.4223723,148.6287558
69,"Hope St, Blaxland NSW 2774, Australia",2774,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.7452292,150.6101288
70,"15666 Hume Hwy, Marulan NSW 2579, Australia",2579,"Tesla Motors Australia, Pty Ltd",15,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-34.7193791,149.9951914
71,"1 Jondaryan Ave, Griffith NSW 2680, Australia",2680,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-34.2891433,146.050738
72,"407 Moppett St, Hay NSW 2711, Australia",2711,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-34.5083374,144.842864
73,"279 Condamine St, Manly Vale NSW 2093, Australia",2093,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.7857715,151.2664574
74,"2 Central Ave, Eveleigh NSW 2015, Australia",2015,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.89558829,151.1957595
75,"72-78 Brook St, Muswellbrook NSW 2333, Australia",2333,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-32.2632046,150.8908563
76,"103 Tibbereena St, Narrabri NSW 2390, Australia",2390,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-30.3237194,149.7807558
77,"74 Benjamin Lee Dr, Raymond Terrace NSW 2324, Australia",2324,"Tesla Motors Australia, Pty Ltd",15,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-32.7608565,151.7750902
78,"260 Peisley St, Orange NSW 2800, Australia",2800,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.28036642,149.1045685
79,"Peak Hill Rd, Parkes NSW 2870, Australia",2870,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.1208795,148.1745229
80,"North Ter, Bankstown NSW 2200, Australia",2200,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.9172635,151.0388392
81,"249 Sheridan St, Gundagai NSW 2722, Australia",2722,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-35.0628786,148.1018724
82,"46 Wynter St, Taree NSW 2430, Australia",2430,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-31.9091286,152.4602752
83,"162 Rouse St, Tenterfield NSW 2372, Australia",2372,"Tesla Motors Australia, Pty Ltd",4,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-29.0565237,152.0181884
84,"Wagga Wagga, NSW, 2650",2650,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-35.13038031,147.341831
85,"68 Lead St, Yass NSW 2582, Australia",2582,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-34.8436517,148.9141404
86,"218 Katoomba St, Katoomba NSW 2780, Australia",2780,Zeus Renewables Pty Ltd,4,"EVSE constructed at the site will consist of two Tritium chargers, one 350kW PK350 and one 150kW PKM150. Each charger has two bays.",-33.7177144,150.3112842